Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Riser_Receptable_to_Card","PCIEx4_SMD_Narrow",104.900000,-51.000000,180.000000,bottom
"REF**","PCIE_SMD_Anchor","PCIE_SMD_Anchor",100.050000,-51.000000,0.000000,bottom
